Num_obs,rms,Arc_length,likely_or_possible_mislinkage,Principal_desig,assumed good instead of human labeled?
10,0.91,36,1,2023 JW35,
15,0.86,36,0,2018 TF60,
11,1.05,34,0,2016 CC162,
12,0.83,36,1,2022 SW327,
12,0.44,26,0,2025 TV51,
10,0.47,40,0,2025 TG62,
8,0.65,28,0,2025 TO62,
10,0.83,38,0,2025 TY65,
10,0.83,35,0,2025 UF115,
9,0.45,25,0,2025 UR124,
9,0.65,37,0,2025 UQ125,
9,0.83,38,0,2025 WV7,
13,0.79,29,1,2020 PP112,
13,0.12,23,0,2020 HQ86,
16,0.31,21,0,2012 VR152,
12,0.78,37,1,2013 RN190,
10,0.07,32,1,2021 RK59,
11,0.61,20,1,2013 TC277,
14,0.66,30,0,2022 PC17,
11,0.75,38,1,2023 RW169,
11,0.45,21,1,2023 WM39,
10,0.34,88,0,2015 DY346,
10,0.12,37,0,2025 DA21,a
19,0.63,30,0,2025 DA22,a
13,0.35,32,0,2025 DD23,a
9,0.14,32,0,2025 DB24,a
16,0.35,16,0,2025 DE28,a
16,0.3,15,0,2025 DK28,a
13,0.76,23,0,2025 DE30,a
12,0.82,23,0,2025 DR30,a
12,0.1,31,0,2025 DR33,a
13,0.38,25,0,2025 DN39,a
19,0.85,64,0,2025 DF40,a
13,0.89,36,0,2025 DM42,a
11,0.25,16,0,2025 DB43,a
10,0.1,27,0,2025 DK43,a
11,0.27,25,0,2025 DM43,a
12,0.57,29,0,2025 DO44,a
11,0.24,52,0,2025 DQ44,a
11,0.45,24,0,2025 DD45,a
9,0.3,11,0,2025 DG45,a
12,0.11,27,0,2025 DV45,a
13,0.38,25,0,2025 DA46,a
12,0.3,24,0,2025 DD46,a
11,0.16,24,0,2025 DN46,a
8,0.15,24,0,2025 DQ46,a
10,0.7,30,0,2025 DW46,a
9,0.75,32,0,2025 DX46,a
13,0.99,22,0,2025 DG47,a
10,0.32,26,0,2025 DO47,a
10,0.78,23,0,2025 DR47,a
9,0.12,23,0,2025 DT47,a
20,0.96,71,0,2025 DP48,a
9,0.59,24,0,2025 DW48,a
12,0.11,24,0,2025 DM50,a
12,0.28,19,0,2025 DR50,a
11,0.12,24,0,2025 DH51,a
12,0.14,25,0,2025 DK51,a
17,0.86,37,0,2025 DQ51,a
9,0.69,23,0,2025 DV51,a
13,0.27,19,0,2025 DY51,a
12,0.35,25,0,2025 DN52,a
10,0.95,24,0,2025 DG53,a
20,0.94,51,0,2025 DL54,a
12,1.09,26,0,2025 DY54,a
12,1.19,27,0,2025 DQ55,a
12,0.97,27,0,2025 DY55,a
13,0.86,25,0,2025 DB56,a
10,0.67,29,0,2025 DJ56,a
17,0.91,66,0,2025 DK56,a
12,0.58,27,0,2025 DM56,a
13,0.76,31,0,2025 DP57,a
12,1.09,33,0,2025 DQ57,a
12,0.64,32,0,2025 DS57,a
13,0.94,35,0,2025 DV57,a
11,0.88,31,0,2025 DZ57,a
14,0.88,36,0,2025 DD58,a
14,1.08,37,0,2025 DE58,a
9,0.82,36,0,2025 DF58,a
15,0.91,37,0,2025 DL58,a
11,1.07,27,0,2025 DN58,a
10,0.58,35,0,2025 DO58,a
18,0.86,37,0,2025 DY58,a
11,0.62,25,0,2025 DA59,a
10,0.68,30,0,2025 DE59,a
9,0.75,29,0,2025 DO59,a
9,0.11,28,0,2025 DP59,a
8,0.2,23,0,2025 DA60,a
8,0.15,24,0,2025 DB60,a
11,1.15,32,0,2025 DJ60,a
11,0.87,28,0,2025 DK60,a
11,0.61,24,0,2025 DL60,a
11,0.91,29,0,2025 DM60,a
8,0.14,24,0,2025 DN60,a
11,0.84,25,0,2025 DO60,a
9,0.13,26,0,2025 DW60,a
9,0.71,28,0,2025 DX60,a
10,0.47,27,0,2025 DZ60,a
10,0.86,34,0,2025 DD61,a
9,0.77,24,0,2025 DF61,a
13,1.13,54,0,2025 DH61,a
17,0.89,67,0,2025 DJ62,a
13,0.91,66,0,2025 DR63,a
13,0.94,62,0,2025 DV63,a
12,0.55,29,0,2025 DR65,a
13,0.56,1,0,2025 EH,a
12,0.48,2,0,2025 ET,a
14,0.57,25,0,2025 EY,a
10,0.3,4,0,2025 EF1,a
19,0.61,2,0,2025 EL2,a
19,0.47,2,0,2025 EN2,a
13,0.79,35,0,2025 EY2,a
11,0.83,24,0,2025 EF3,a
14,0.32,37,0,2025 EP4,a
9,0.35,25,0,2025 EB5,a
10,0.09,25,0,2025 EL6,a
13,0.68,25,0,2025 EM7,a
11,0.11,18,0,2025 EB8,a
11,0.69,24,0,2025 EO8,a
11,1.03,28,0,2025 ET8,a
12,0.85,23,0,2025 EU8,a
18,0.85,22,0,2025 ER9,a
17,0.87,22,0,2025 ES9,a
10,0.65,23,0,2025 EG10,a
12,0.88,22,0,2025 EJ11,a
9,0.94,22,0,2025 EK11,a
9,0.9,22,0,2025 EL11,a
13,0.69,29,0,2025 EZ11,a
12,1.1,22,0,2025 EA12,a
10,1.07,22,0,2025 ES12,a
11,0.87,22,0,2025 ET12,a
10,1.06,22,0,2025 EV12,a
10,0.98,21,0,2025 EW12,a
11,0.73,22,0,2025 EY12,a
11,1.07,26,0,2025 EZ12,a
10,0.68,30,0,2025 EA13,a
9,0.98,28,0,2025 EB13,a
9,0.12,21,0,2025 ED13,a
14,0.84,50,0,2025 EG15,a
18,0.61,16,0,2025 FU1,a
18,0.66,2,0,2025 FE4,a
18,0.46,2,0,2025 FP4,a
18,0.64,8,0,2025 FE6,a
19,0.39,0,0,2025 FY6,a
19,0.48,2,0,2025 FM10,a
10,0.44,1,0,2025 FE11,a
19,0.49,2,0,2025 FC15,a
17,0.33,33,0,2025 FJ16,a
19,0.63,20,0,2025 FV16,a
10,0.45,2,0,2025 FW16,a
18,0.3,12,0,2025 FA17,a
10,0.84,27,0,2025 FL17,a
18,0.64,33,0,2025 FT17,a
11,0.29,2,0,2025 FB18,a
13,1.11,33,0,2025 FB19,a
12,0.79,36,0,2025 FN19,a
13,0.81,30,0,2025 FG21,a
13,0.88,35,0,2025 FU21,a
12,0.43,1,0,2025 FH25,a
12,0.62,35,0,2025 FH26,a
12,0.9,36,0,2025 FU27,a
10,0.44,3,0,2025 FY27,a
12,0.84,22,0,2025 FB28,a
11,0.77,21,0,2025 FM29,a
11,0.55,23,0,2025 FN29,a
18,0.82,33,0,2025 FB32,a
13,0.85,37,0,2025 FB33,a
11,0.17,39,0,2025 FG34,a
10,0.86,31,0,2025 FB35,a
13,0.83,31,0,2025 FC35,a
10,1.08,37,0,2025 FB36,a
12,0.84,37,0,2025 FE36,a
11,0.9,32,0,2025 FM36,a
11,0.58,36,0,2025 FO36,a
15,1.08,37,0,2025 FZ36,a
18,0.9,37,0,2025 FA37,a
13,0.92,35,0,2025 FG37,a
11,0.48,53,0,2025 FO37,a
12,0.82,33,0,2025 FQ37,a
9,0.34,36,0,2025 FD38,a
10,0.79,37,0,2025 FM38,a
14,0.84,33,0,2025 FR38,a
12,0.62,36,0,2025 FW38,a
12,0.94,37,0,2025 FB39,a
8,0.6,36,0,2025 FG40,a
8,0.33,37,0,2025 FH40,a
13,0.92,28,0,2025 FJ40,a
10,0.91,33,0,2025 FK40,a
13,0.7,33,0,2025 FQ40,a
19,1.17,54,0,2025 GH2,a
16,1.2,54,0,2025 GL2,a
11,0.76,24,0,2025 GT2,a
9,0.26,25,0,2025 GE4,a
11,0.75,26,0,2025 GH4,a
11,0.64,47,0,2025 GN4,a
18,0.76,2,0,2025 HZ2,a
18,0.4,2,0,2025 HW3,a
19,0.86,11,0,2025 HB4,a
19,0.65,3,0,2025 HW4,a
18,0.57,2,0,2025 HX4,a
12,0.38,25,0,2025 HJ7,a
8,0.21,36,0,2025 HX7,a
12,1.13,33,0,2025 HG9,a
16,0.79,32,0,2025 HD10,a
18,0.4,32,0,2025 HZ16,a
12,1.1,33,0,2025 HB18,a
13,0.61,25,0,2025 HP18,a
11,0.76,54,0,2025 HC21,a
16,0.57,31,0,2025 HQ24,a
20,0.55,36,0,2025 HS24,a
14,0.78,32,0,2025 HM25,a
13,0.98,36,0,2025 HS25,a
14,0.77,32,0,2025 HE26,a
13,0.89,33,0,2025 HU26,a
10,0.66,25,0,2025 HH29,a
17,1.19,66,0,2025 HS29,a
11,0.99,32,0,2025 HC31,a
13,0.83,37,0,2025 HJ31,a
13,0.98,33,0,2025 HK32,a
13,0.83,25,0,2025 HU33,a
8,0.5,25,0,2025 HD34,a
9,0.1,21,0,2025 HN34,a
13,1.15,35,0,2025 HL35,a
19,0.59,30,0,2025 HP36,a
11,0.15,21,0,2025 HK37,a
14,0.86,24,0,2025 HT37,a
13,1.1,28,0,2025 HL38,a
